id_candidat,nom,prenom,adresse,email,tel,id_competence,id_softskill,id_metier,id_lieu,id_contrat,id_type_entreprise,id_seniorite,id_teletravail,id_domaine,salaire_min
30,Gillet,Paul,26910,valentine98@example.org,0635015247,"[757, 1154, 66, 240, 701]","[20, 8, 18, 16, 17]",[747],"[17488, 29341, 5117, 37288, 29133]",[],"[4, 2, 1, 3]","[3, 1, 2]",[3],"[102, 59, 37, 30, 7]",30000
31,Ruiz,Jacques,32787,rivieremonique@example.net,0557794487,"[898, 1401, 808, 946, 1111]","[19, 16, 5, 20, 8, 12]","[7826, 10318, 784]",[],"[5, 4]","[3, 4, 2, 1]",[],"[3, 2, 1]","[79, 86]",70000
32,Carlier,Marc,27513,bernard06@example.com,+33 (0)5 19 91 40 94,"[6, 611, 1205, 278, 854, 615, 357, 1459, 1028]","[9, 16, 18]","[6292, 10858]",[21538],[],"[3, 2, 1, 4]",[2],[2],"[97, 47, 106, 98, 28]",45000
33,Petit,Virginie,15161,delannoyauguste@example.net,+33 4 57 67 56 24,"[42, 923, 460, 1003, 282, 354, 941, 209]","[18, 12, 6, 20, 22, 1, 3, 23, 15]",[8287],"[14810, 37294, 29095]",[],"[2, 4, 3]","[2, 3, 1]","[3, 2]","[53, 69, 52, 103, 81]",40000
34,Bouvet,Gabriel,32157,christellemuller@example.org,0250160139,"[596, 152, 699, 1014, 975, 1389]",[],[9541],"[16982, 32182, 35671]","[6, 1, 5, 2, 3, 4]","[1, 3, 4]","[2, 1]",[],"[69, 15, 2, 66]",30000
35,Hernandez,Henriette,4535,matthieu41@example.com,+33 (0)3 45 98 82 89,"[306, 909, 1550]",[4],"[8201, 10565, 7979]",[13157],"[6, 2, 5, 3, 4]","[4, 3, 2, 1]",[],[1],"[40, 103, 30, 49]",50000
36,Teixeira,Rémy,29449,martincollet@example.com,0482935551,"[702, 1500]","[23, 1]",[6090],"[15871, 36428, 31818, 30211, 6082]","[4, 1]","[3, 4, 2, 1]","[3, 2, 1]",[3],[96],30000
37,Monnier,Philippine,42705,jantoine@example.net,04 70 50 39 52,"[768, 22, 160, 1312, 670, 342, 675, 1038]","[10, 13, 14, 5, 8, 20]","[12095, 11755]","[24432, 23121, 30476, 30194]","[4, 1, 6, 2, 3]",[],[3],"[3, 2, 1]","[88, 31, 6, 57, 73]",70000
38,Payet,Marianne,33839,iherve@example.com,+33 (0)2 76 90 95 52,"[1056, 1487, 659, 1460, 321]","[20, 22]",[6255],"[33135, 23740, 41698, 2545]","[5, 3, 4]","[2, 4]","[2, 3]","[1, 3]",[],50000
39,Rey,Thomas,25128,prevoststephanie@example.com,01 77 99 79 20,"[809, 539, 91, 536, 1176, 263, 538, 527]","[18, 2, 14, 4, 12, 7, 23, 15, 19, 6]",[4362],"[693, 43423, 24705]","[2, 5, 6, 3, 4, 1]",[],[1],[3],[31],65000
40,Renaud,Marguerite,2382,antoineemilie@example.org,02 55 29 72 78,"[542, 1120, 98, 652, 913]",[18],"[7249, 3392, 8897]",[5237],"[1, 5, 3, 4, 6]","[1, 2, 4]","[2, 3, 1]","[1, 2]",[50],65000
41,Da Silva,Noémi,28559,marchandnoemi@example.org,+33 (0)5 36 47 32 86,"[1246, 1087, 1057, 546, 1559, 910, 1214]","[16, 11, 17, 18, 20, 19, 5, 13]","[2563, 6245, 9540]","[43287, 26028, 2129, 37091]","[2, 1, 5]","[4, 2]",[],[],[],60000
42,Perrin,Madeleine,34749,tlaporte@example.org,0372464788,[],"[14, 5, 9, 1, 7, 22, 15, 8, 17]","[9535, 7612]",[],"[5, 2, 3, 1]","[3, 1]","[1, 2, 3]","[2, 3]","[53, 59, 1]",30000
43,Jacquet,Margot,36261,albertclaude@example.com,0689096621,"[335, 1460]","[22, 7, 20, 23, 21, 3]","[7957, 10318]","[13926, 25871, 8329, 43642, 30517]","[2, 3, 6, 1, 5, 4]","[4, 2, 1]","[2, 3, 1]",[2],"[110, 46, 10, 5, 50]",55000
44,Michel,Michel,29586,tpruvost@example.com,+33 (0)3 86 81 14 63,"[330, 1516, 1450, 404]","[13, 3]",[9743],[],"[5, 3, 4, 1, 6]",[3],"[2, 1, 3]","[2, 1]","[54, 46]",65000
45,Payet,Roland,4109,roynathalie@example.com,04 32 50 44 81,"[1113, 1474, 737]","[23, 21, 16, 15, 13]","[6246, 10565, 1473]","[33916, 18207]",[3],"[2, 3, 1, 4]",[2],"[2, 3, 1]",[],50000
46,Tanguy,Gabrielle,1405,celine45@example.net,+33 (0)4 57 93 28 93,"[706, 1219, 1417, 1230, 1010]","[4, 19, 13, 5, 3, 6, 20, 23]","[3470, 7387, 7390]","[3205, 18849, 2765]","[5, 3, 1, 4, 2]",[4],"[2, 1]",[1],"[8, 68, 25, 30, 49]",65000
47,Chevalier,Roger,30260,maryse78@example.net,03 85 81 92 88,"[545, 822, 1281, 1291, 1524, 1094, 1356, 711, 67]","[17, 12, 5, 23]",[9740],"[29464, 25321, 14601]","[2, 6, 5, 1, 4, 3]","[1, 2, 4, 3]",[1],"[3, 2]",[70],70000
48,Masse,Bertrand,42899,dvaillant@example.com,+33 2 61 48 96 01,"[905, 856, 762, 10, 1277, 966]","[5, 18, 23, 3, 11, 10, 15, 8, 4, 20]","[9816, 9539, 7390]","[21833, 30456]",[],[2],[],[],"[54, 20, 98, 80]",60000
49,Noël,Alix,14323,alphonserossi@example.com,+33 (0)4 20 87 04 85,"[849, 1106, 1088, 1315, 1248, 1195, 840, 377, 1437]","[23, 17, 10, 15, 2, 9, 6, 14, 11]","[7981, 9961]","[33436, 7071, 26727, 32470, 31485]","[3, 4, 2, 1, 6]","[1, 3]","[1, 3]","[2, 3, 1]",[],55000
